Manager (* means still there),Rehired,Age,Year Hired,Team,Race,Race (B/W/O),Black,Country of Origin (Birthplace),Number of Matches (MLS),Wins (MLS),Draws (MLS),Losses (MLS),Points accrued,Tenure (Seasons),Experience-Post Tenure,Head Coaching Experience (Yrs),Assistant Coach Experience (Yrs),Rehire?,Average Total Squad Compensation,Former Player?,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Avg Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Avg Coach Rating
Luchi Gonzalez,1,39,2019,FCD,W,W,0,USA,82,28,25,29,109,3,3,0,0,0,"$11,531,934.00",TRUE,MLS,69.3,USL,58.4,SDO,51,PPD,69.4,U17,43.8,,0,,0,,0,36.4875,MLS,69.3,,0,,0,,0,,0,,0,11.55
Marc Dos Santos,0,42,2019,VAN,W,W,0,Canada,76,22,18,36,84,2,12,10,2,0,"$9,991,673.33",FALSE,N/A,0,,0,,0,,0,,0,,0,,0,,0,0,EPL (W),0,,0,,0,,0,,0,,0,0
Matias Almeyda,0,46,2019,SJE,W,W,0,Argentina,98,31,25,42,118,3,10,7,0,0,"$11,522,281.75",TRUE,APD,80.8,ISA,89.5,,0,,0,,0,,0,,0,,0,21.2875,SSB,68.7,,0,,0,,0,,0,,0,11.45
Robin Fraser,0,52,2019,COL,NW,B,1,Jamaica,137,44,52,41,184,3,5,2,10,1,"$11,300,972.20",TRUE,ASL,0,APSL,0,,0,FTI,76.8,,0,,0,,0,,0,9.6,None,0,,0,,0,,0,,0,,0,0
Ron Jans,0,61,2019,CIN,W,W,0,Netherlands,10,1,4,5,7,1,27,26,2,0,"$11,420,531 ",TRUE,NED,60.6,JJL,68.5,,0,,0,,0,,0,,0,,0,16.1375,MLS,69.3,,0,,0,,0,,0,,0,11.55
Diego Alonso,0,45,2020,MIA,W,W,0,Uruguay,23,7,3,13,24,1,9,8,0,0,"$13,894,198.00",TRUE,USD,63.3,APD,80.8,,0,SSD,77.3,CSL,67.5,MLX,80,,0,,0,46.1125,MLS,69.3,MLX,80,,0,,0,,0,,0,24.88333333
Gerhard Struber,0,43,2020,NYRB,W,W,0,Austria,79,29,23,27,110,3,11,8,0,0,"$10,552,991.33",TRUE,ABL,75.3,,0,MLS,69.3,,0,,0,,0,,0,,0,18.075,None,0,,0,,0,,0,,0,,0,0
Jaap Stam,0,48,2020,CIN,W,W,0,Netherlands,48,8,12,28,36,2,9,7,5,0,"$15,048,973 ",TRUE,NED,60.6,NER,78.4,U21,59.7,ISA,89.5,FTI,76.8,,0,,0,,0,45.625,MLS,69.3,,0,,0,,0,,0,,0,11.55
Raphael Wicky,0,43,2020,CHI,W,W,0,Switzerland,51,12,14,25,50,2,12,10,0,0,"$13,277,117.50",TRUE,SSS,77.4,FTI,76.8,FTI,76.8,SSL,71,GBL,90.3,,0,,0,,0,49.0375,ACA,0,,0,,0,,0,,0,,0,0
Ronny Deila,0,45,2020,NYC,W,W,0,Norway,70,34,14,22,116,3,15,12,2,0,"$14,953,185.67",TRUE,NES,72.1,U21,59.7,ISA,89.5,,0,,0,,0,,0,,0,27.6625,EFL,75.4,,0,,0,,0,,0,,0,12.56666667
